"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","Comment"
"1,6-Anhydro-beta-D-glucose","Levoglucosan","HMDB00640","2724705","30997","","5613","1"
"1-Methylnicotinamide","1-Methylnicotinamide","HMDB00699","457","16797","C02918","5667","1"
"2-Aminobutyrate","L-Alpha-aminobutyric acid","HMDB00452","80283","35619","C02356","12","1"
"2-Hydroxyisobutyrate","Alpha-Hydroxyisobutyric acid","HMDB00729","11671","50129","","3750","1"
"2-Oxoglutarate","Oxoglutaric acid","HMDB00208","51","30915","C00026","5218","1"
"3-Aminoisobutyrate","3-Aminoisobutanoic acid","HMDB03911","64956","27389","C05145","5472","1"
"3-Hydroxybutyrate","3-Hydroxybutyric acid","HMDB00357","441","20067","C01089","125","1"
"3-Hydroxyisovalerate","3-Hydroxyisovaleric acid","HMDB00754","69362","37084","","5722","1"
"3-Indoxylsulfate","Indoxyl sulfate","HMDB00682","10258","43355","","524","1"
"4-Hydroxyphenylacetate","p-Hydroxyphenylacetic acid","HMDB00020","127","18101","C00642","130","1"
"Acetate","Acetic acid","HMDB00042","176","15366","C00033","3206","1"
"Acetone","Acetone","HMDB01659","180","15347","C00207","3745","1"
"Adipate","Adipic acid","HMDB00448","196","30832","C06104","115","1"
"Alanine","L-Alanine","HMDB00161","5950","16977","C00041",NA,"1"
"Asparagine","L-Asparagine","HMDB00168","6267","17196","C00152","14","1"
"Betaine","Betaine","HMDB00043","247","17750","C00719","287","1"
"Carnitine","Carnitine","METPA0048",NA,NA,"C00487",NA,"1"
"Citrate","Citric acid","HMDB00094","311","30769","C00158","124","1"
"Creatine","Creatine","HMDB00064","586","16919","C00300","7","1"
"Creatinine","Creatinine","HMDB00562","588","16737","C00791","8","1"
"Dimethylamine","Dimethylamine","HMDB00087","674","17170","C00543","3758","1"
"Ethanolamine","Ethanolamine","HMDB00149","700","16000","C00189","3207","1"
"Formate","Formic acid","HMDB00142","284","30751","C00058","3202","1"
"Fucose","L-Fucose","HMDB00174","17106","2181","C01019","268","1"
"Fumarate","Fumaric acid","HMDB00134","444972","18012","C00122","3242","1"
"Glucose","D-Glucose","HMDB00122","5793","4167","C00031","133","1"
"Glutamine","L-Glutamine","HMDB00641","5961","18050","C00064","5614","1"
"Glycine","Glycine","HMDB00123","750","15428","C00037","20","1"
"Glycolate","Glycolic acid","HMDB00115","757","17497","C00160","3219","1"
"Guanidoacetate","Guanidoacetic acid","HMDB00128","763","16344","C00581","5163","1"
"Hippurate","Hippuric acid","HMDB00714","464","18089","C01586","1301","1"
"Histidine","L-Histidine","HMDB00177","6274","15971","C00135","21","1"
"Hypoxanthine","Hypoxanthine","HMDB00157","790","17368","C00262","83","1"
"Isoleucine","L-Isoleucine","HMDB00172","6306","17191","C00407","5193","1"
"Lactate","L-Lactic acid","HMDB00190","107689","422","C00186","5205","1"
"Leucine","L-Leucine","HMDB00687","6106","15603","C00123","24","1"
"Lysine","L-Lysine","HMDB00182","5962","18019","C00047","5200","1"
"Methylamine","Methylamine","HMDB00164","6329","16830","C00218","3767","1"
"Methylguanidine","Methylguanidine","HMDB01522","10111","16628","C02294","3768","1"
"N,N-Dimethylglycine","Dimethylglycine","HMDB00092","673","17724","C01026","277","1"
"O-Acetylcarnitine","L-Acetylcarnitine","HMDB00201","1",NA,"C02571","5213","1"
"Pantothenate","Pantothenic acid","HMDB00210","988","7916","C00864","241","1"
"Pyroglutamate","Pyroglutamic acid","HMDB00267","7405","18183","C01879","3251","1"
"Pyruvate","Pyruvic acid","HMDB00243","1060","32816","C00022","117","1"
"Quinolinate","Quinolinic acid","HMDB00232","1066","16675","C03722","330","1"
"Serine","L-Serine","HMDB00187","5951","17115","C00065","5203","1"
"Succinate","Succinic acid","HMDB00254","1110","15741","C00042","114","1"
"Sucrose","Sucrose","HMDB00258","5988","17992","C00089","137","1"
"Tartrate","Tartaric acid","HMDB00956","444305","15671","C00898","4197","1"
"Taurine","Taurine","HMDB00251","1123","15891","C00245","31","1"
"Threonine","L-Threonine","HMDB00167","6288","16857","C00188","32","1"
"Trigonelline","Trigonelline","HMDB00875","5570","18123","C01004","273","1"
"Trimethylamine N-oxide","Trimethylamine N-oxide","HMDB00925","1145","15724","C01104","5876","1"
"Tryptophan","L-Tryptophan","HMDB00929","6305","16828","C00078","5879","1"
"Tyrosine","L-Tyrosine","HMDB00158","6057","17895","C00082","34","1"
"Uracil","Uracil","HMDB00300","1174","17568","C00106","258","1"
"Valine","L-Valine","HMDB00883","6287","16414","C00183","5842","1"
"Xylose","D-Xylose","HMDB00098","135191","53455","C00181","314","1"
"cis-Aconitate","cis-Aconitic acid","HMDB00072","643757","32805","C00417","5130","1"
"myo-Inositol","Myoinositol","HMDB00211",NA,"17268","C00137","5221","1"
"trans-Aconitate","trans-Aconitic acid","HMDB00958","444212","32806","C02341",NA,"1"
"pi-Methylhistidine","1-Methylhistidine","HMDB00001","92105","50599","C01152","3741","1"
"tau-Methylhistidine","3-Methylhistidine","HMDB00479","64969","27596","C01152","5466","1"
