pathwayID	Name	Matches
PWY-5377	&alpha;-amyrin biosynthesis	RXN-8434
PWY-7555	&alpha;-cyclopiazonate biosynthesis	"BETA-CYCLOPIAZONATE-DEHYDROGENASE-RXN, RXN-15810, RXN-15811, RXN-15812"
PWY-7558	&alpha;-cyclopiazonate detoxification	RXN-15836
PWY-7684	&alpha;-diglucosyldiacylglycerol biosynthesis	"2.4.1.208-RXN, 2.4.1.157-RXN"
PWY-5375	&alpha;-eleostearate biosynthesis	RXN-8413
PWY-5997	&alpha;-linolenate biosynthesis I (plants and red algae)	"RXN-16046, RXN-9667"
PWY-7598	&alpha;-linolenate biosynthesis II (cyanobacteria)	RXN-16071
PWY-5666	&alpha;-solanine/&alpha;-chaconine biosynthesis	"RXN-8883, RXN-8884, RXN-8881, RXN-8875, RXN-8880, RXN-8882"
PWY-6377	&alpha;-tocopherol degradation	"RXN-11003, RXN-11004, RXN-11005"
PWY-7136	&beta; myrcene degradation	"RXN-12335, RXN-11970, RXN-12336, RXN-11968"
PWY-7456	"&beta;-(1,4)-mannan degradation"	"PHOSMANMUT-RXN, RXN-15344, RXN-12977, 3.2.1.78-RXN, 3.2.1.100-RXN, MANNPISOM-RXN, RXN-15202"
PWY-7586	"&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation"	"PHOSMANMUT-RXN, RXN-15203, MANNPISOM-RXN"
PWY-4021	&beta;-alanine betaine biosynthesis	"RXN-6461, RXN-6464, RXN-6462"
PWY-3981	&beta;-alanine biosynthesis I	"RXN-6382, RXN-6381"
PWY-3941	&beta;-alanine biosynthesis II	"3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN, RXN-6383, RXN-6384, 2.6.1.18-RXN, PROPIONATE--COA-LIGASE-RXN, PROPCOASYN-RXN"
PWY-5155	&beta;-alanine biosynthesis III	ASPDECARBOX-RXN
PWY-5760	&beta;-alanine biosynthesis IV	"RXN-6382, RXN-9015"
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I	"RXN-2901, RXN-2902"
PWY-1781	&beta;-alanine degradation II	"RXN-2902, 2.6.1.18-RXN"
PWY-5943	&beta;-carotene biosynthesis	"RXN1F-151, RXN1F-150"
PWY-6275	&beta;-caryophyllene biosynthesis	"RXN-8415, RXN-8414, RXN-8432"
