pathwayID	Name	Matches
PWY-5377	&alpha;-amyrin biosynthesis	"(3<i>S</i>)-2,3-epoxy-2,3-dihydrosqualene  &rarr;  &alpha;-amyrin"
PWY-7555	&alpha;-cyclopiazonate biosynthesis	"&beta;-cyclopiazonate + an oxidized electron acceptor  &rarr;  &alpha;-cyclopiazonate + a reduced electron acceptor, acetyl-CoA + malonyl-CoA + a <i>holo</i>-[acyl-carrier protein] + H<SUP>+</SUP>  &rarr;  an acetoacetyl-[acp] + CO<SUB>2</SUB> + 2 coenzyme A, an acetoacetyl-[acp] + L-tryptophan + ATP  &rarr;  cyclo-acetoacetyl-<i>L</i>-tryptophan + AMP + a <i>holo</i>-[acyl-carrier protein] + diphosphate + 2 H<SUP>+</SUP>, cyclo-acetoacetyl-<i>L</i>-tryptophan + dimethylallyl diphosphate  &rarr;  &beta;-cyclopiazonate + diphosphate"
PWY-7558	&alpha;-cyclopiazonate detoxification	&alpha;-cyclopiazonate + NAD(P)H + H<SUP>+</SUP> + oxygen  &rarr;  2-oxocyclopiazonate + NAD(P)<sup>+</sup> + H<sub>2</sub>O
PWY-7684	&alpha;-diglucosyldiacylglycerol biosynthesis	"UDP-&alpha;-D-glucose + a 1,2-diacyl-3-O-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol  &rarr;  a 1,2-diacyl-3-O-(&alpha;-D-glucopyranosyl(1->2)-O-&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol + UDP + H<SUP>+</SUP>, UDP-&alpha;-D-glucose + a 1,2-diacyl-<i>sn</i>-glycerol  &rarr;  a 1,2-diacyl-3-O-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol + UDP + H<SUP>+</SUP>"
PWY-5375	&alpha;-eleostearate biosynthesis	a [glycerolipid]-linoleate + 2 a ferrocytochrome <i>b<SUB>5</SUB></i> + oxygen + 2 H<SUP>+</SUP>  &rarr;  a [glycerolipid]-&alpha;-eleostearate + 2 a ferricytochrome <i>b<sub>5</sub></i> + 2 H<sub>2</sub>O
PWY-5997	&alpha;-linolenate biosynthesis I (plants and red algae)	"a [glycerolipid]-linoleate + 2 a ferrocytochrome <i>b<SUB>5</SUB></i> + oxygen + 2 H<SUP>+</SUP>  &rarr;  a [glycerolipid]-&alpha;-linolenate + 2 a ferricytochrome <i>b<sub>5</sub></i> + 2 H<sub>2</sub>O, a [glycerolipid]-linoleate + 2 a reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H<SUP>+</SUP>  &rarr;  a [glycerolipid]-&alpha;-linolenate + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H<sub>2</sub>O"
PWY-7598	&alpha;-linolenate biosynthesis II (cyanobacteria)	a 1-linoleoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + oxygen + 2 H<SUP>+</SUP>  &rarr;  a 1-&alpha;-linolenoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H<sub>2</sub>O
PWY-5666	&alpha;-solanine/&alpha;-chaconine biosynthesis	"&beta;-chaconine + UDP-&beta;-L-rhamnose  &rarr;  &alpha;-chaconine + UDP + H<SUP>+</SUP>, &beta;-solanine + UDP-&beta;-L-rhamnose  &rarr;  &alpha;-solanine + UDP, &gamma;-chaconine + UDP-&beta;-L-rhamnose  &rarr;  &beta;-chaconine + UDP + H<SUP>+</SUP>, UDP-&alpha;-D-galactose + solanidine  &rarr;  &gamma;-solanine + UDP + H<SUP>+</SUP>, UDP-&alpha;-D-glucose + &gamma;-solanine  &rarr;  &beta;-solanine + UDP + 2 H<SUP>+</SUP>, UDP-&alpha;-D-glucose + solanidine  &rarr;  &gamma;-chaconine + UDP + H<SUP>+</SUP>"
PWY-6377	&alpha;-tocopherol degradation	"&alpha;-tocopherol + NADPH + oxygen + H<SUP>+</SUP>  &rarr;  13'-hydroxy-&alpha;-tocopherol + NADP<sup>+</sup> + H<sub>2</sub>O, 13'-hydroxy-&alpha;-tocopherol  &rarr;  5'-&alpha;-carboxylmethylbutylhydroxychroman, 5'-&alpha;-carboxylmethylbutylhydroxychroman  &rarr;  &alpha;-carboxyethylhydroxychroman"
PWY-7136	&beta; myrcene degradation	"(3S)-linalool  &larr;  &beta;-myrcene + H<sub>2</sub>O, geranial + NAD<sup>+</sup> + H<sub>2</sub>O  &harr;  geranate + NADH + 2 H<SUP>+</SUP>, geraniol  &harr;  (3S)-linalool, geraniol + NAD<sup>+</sup>  &harr;  geranial + NADH + H<SUP>+</SUP>"
PWY-7456	"&beta;-(1,4)-mannan degradation"	"&alpha;-D-mannose 1-phosphate  &harr;  D-mannopyranose 6-phosphate, &beta;-1,4-D-mannobiose  &harr;  &beta;-D-mannosyl-(1&rarr;4)-D-glucose, &beta;-D-mannosyl-(1&rarr;4)-D-glucose + phosphate  &harr;  D-glucopyranose + &alpha;-D-mannose 1-phosphate, a &beta;-(1,4)-D-mannan + H<sub>2</sub>O  &rarr;  2 a &beta;-(1,4)-mannan oligosaccharide, a &beta;-(1,4)-D-mannan + n H<sub>2</sub>O  &rarr;  n-1 &beta;-1,4-D-mannobiose, D-mannopyranose 6-phosphate  &harr;  &beta;-D-fructofuranose 6-phosphate, [(1&rarr;4)-&beta;-D-mannosyl]<sub>n</sub> + phosphate  &harr;  [(1&rarr;4)-&beta;-D-mannosyl]<sub>n-1</sub> + &alpha;-D-mannose 1-phosphate"
PWY-7586	"&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation"	"&alpha;-D-mannose 1-phosphate  &harr;  D-mannopyranose 6-phosphate, 4-O-&beta;-D-mannopyranosyl-<i>N</i>-acetyl-D-glucosamine + phosphate  &harr;  <i>N</i>-acetyl-D-glucosamine + &alpha;-D-mannose 1-phosphate, D-mannopyranose 6-phosphate  &harr;  &beta;-D-fructofuranose 6-phosphate"
PWY-4021	&beta;-alanine betaine biosynthesis	"&beta;-alanine + <i>S</i>-adenosyl-L-methionine  &rarr;  N-methyl-&beta;-alanine + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>, N,N-dimethyl-&beta;-alanine + <i>S</i>-adenosyl-L-methionine  &rarr;  &beta;-alanine betaine + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>, N-methyl-&beta;-alanine + <i>S</i>-adenosyl-L-methionine  &rarr;  N,N-dimethyl-&beta;-alanine + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>"
PWY-3981	&beta;-alanine biosynthesis I	"3-aminopropanal + NAD(P)<sup>+</sup> + H<sub>2</sub>O  &rarr;  &beta;-alanine + NAD(P)H + 2 H<SUP>+</SUP>, propane-1,3-diamine + H<sub>2</sub>O + oxygen  &rarr;  3-aminopropanal + ammonium + hydrogen peroxide"
PWY-3941	&beta;-alanine biosynthesis II	"3-hydroxypropanoate + NAD<sup>+</sup>  &rarr;  3-oxopropanoate + NADH + H<SUP>+</SUP>, 3-hydroxypropanoyl-CoA  &harr;  acryloyl-CoA + H<sub>2</sub>O, 3-hydroxypropanoyl-CoA + H<sub>2</sub>O  &rarr;  3-hydroxypropanoate + coenzyme A + H<SUP>+</SUP>, 3-oxopropanoate + L-alanine  &harr;  &beta;-alanine + pyruvate, propanoate + ATP + coenzyme A  &rarr;  propanoyl-CoA + AMP + diphosphate, propanoyl-CoA + an oxidized electron-transfer flavoprotein + H<SUP>+</SUP>  &rarr;  acryloyl-CoA + a reduced electron-transfer flavoprotein"
PWY-5155	&beta;-alanine biosynthesis III	L-aspartate + H<SUP>+</SUP>  &rarr;  &beta;-alanine + CO<SUB>2</SUB>
PWY-5760	&beta;-alanine biosynthesis IV	"3-aminopropanal + NAD(P)<sup>+</sup> + H<sub>2</sub>O  &rarr;  &beta;-alanine + NAD(P)H + 2 H<SUP>+</SUP>, spermine + oxygen + H<sub>2</sub>O  &rarr;  spermidine + 3-aminopropanal + hydrogen peroxide"
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I	"&beta;-alanine + 2-oxoglutarate  &harr;  3-oxopropanoate + L-glutamate, 3-oxopropanoate + coenzyme A + NAD<sup>+</sup>  &rarr;  acetyl-CoA + CO<SUB>2</SUB> + NADH"
PWY-1781	&beta;-alanine degradation II	"3-oxopropanoate + coenzyme A + NAD<sup>+</sup>  &rarr;  acetyl-CoA + CO<SUB>2</SUB> + NADH, 3-oxopropanoate + L-alanine  &harr;  &beta;-alanine + pyruvate"
PWY-5943	&beta;-carotene biosynthesis	"&gamma;-carotene  &rarr;  <i>all-trans</i>-&beta;-carotene, <i>all-trans</i>-lycopene  &rarr;  &gamma;-carotene"
PWY-6275	&beta;-caryophyllene biosynthesis	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate  &rarr;  &alpha;-humulene + diphosphate, (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate  &rarr;  (-)-&beta;-caryophyllene + diphosphate, (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate  &rarr;  (-)-&beta;-elemene + diphosphate"
PWY-6290	&beta;-cubebene biosynthesis	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate  &rarr;  (-)-&beta;-cubebene + diphosphate"
PWY-7530	&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosamine biosynthesis	"<i>N</i>-acetyl-&alpha;-D-glucosaminyldiphospho-<i>ditrans,octacis</i>-undecaprenol  &rarr;  <i>N</i>-acetyl-&alpha;-D-galactosaminyldiphospho-<i>ditrans,octacis</i>-undecaprenol, UDP-&alpha;-D-galactose + <i>N</i>-acetyl-&alpha;-D-galactosaminyldiphospho-<i>ditrans,octacis</i>-undecaprenol  &rarr;  &beta;-D-galactosyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-diphospho-<i>ditrans,octacis</i>-undecaprenol + UDP + H<SUP>+</SUP>, UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine + <i>di-trans,octa-cis</i>-undecaprenyl phosphate  &rarr;  <i>N</i>-acetyl-&alpha;-D-glucosaminyldiphospho-<i>ditrans,octacis</i>-undecaprenol + UMP"
PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation	"<i>aldehydo</i>-D-glucuronate  &harr;  D-fructuronate, a &beta;-D-glucuronoside + H<sub>2</sub>O  &rarr;  D-glucopyranuronate + an alcohol, D-glucopyranuronate  &harr;  <i>aldehydo</i>-D-glucuronate"
PWY-7740	&beta;-D-mannosyl phosphomycoketide biosynthesis	"a medium-chain acyl-CoA + 5 malonyl-CoA + 5 (S)-methylmalonyl-CoA + 22 NADPH + 32 H<SUP>+</SUP>  &rarr;  a mycoketide CoA + 10 CO<SUB>2</SUB> + 10 coenzyme A + 22 NADP<sup>+</sup> + 11 H<sub>2</sub>O, a mycoketide + ATP  &rarr;  a mycoketide phosphate + ADP + H<SUP>+</SUP>, a mycoketide CoA + H<sub>2</sub>O  &rarr;  a mycoketide + coenzyme A, a mycoketide phosphate + GDP-&alpha;-D-mannose  &rarr;  a &beta;-D-mannosyl phosphomycoketide + GDP"
PWY-4961	&beta;-pyrazole-1-ylalanine biosynthesis	"2-pyrazoline + an oxidized electron acceptor  &rarr;  pyrazole + a reduced electron acceptor, <i>O</i>-acetyl-L-serine + pyrazole  &rarr;  3-(pyrazol-1-yl)-L-alanine + acetate + H<SUP>+</SUP>, propane-1,3-diamine + an oxidized electron acceptor  &rarr;  pyrazolidine + a reduced electron acceptor + 2 H<SUP>+</SUP>, pyrazolidine + an oxidized electron acceptor  &rarr;  2-pyrazoline + a reduced electron acceptor"
PWY-5946	&delta;-carotene biosynthesis	<i>all-trans</i>-lycopene  &rarr;  &delta;-carotene
PWY-6669	&delta;-guaiene biosynthesis	"(+)-germacrene A  &rarr;  &delta;-guaiene, (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate  &rarr;  (+)-germacrene A + diphosphate"
PWY-3621	&gamma;-butyrobetaine degradation	"&gamma;-butyrobetaine + 2-oxoglutarate + oxygen  &rarr;  L-carnitine + succinate + CO<SUB>2</SUB>, 3-dehydrocarnitine + H<SUP>+</SUP>  &rarr;  trimethylaminoacetone + CO<SUB>2</SUB>, L-carnitine + NAD<sup>+</sup>  &harr;  3-dehydrocarnitine + NADH + H<SUP>+</SUP>, trimethylaminoacetone + 2 NAD<sup>+</sup> + H<sub>2</sub>O + oxygen  &rarr;  glycine betaine + CO<SUB>2</SUB> + 2 NADH + 3 H<SUP>+</SUP>"
