"Compound"	"CAS"	"HMDB"	"KEGG"	"PubChem"
CPD-16426				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=86289136'>86289136</a>"
CPD-13275				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52940232'>52940232</a>"
CPD-4886		"<a href='http://www.hmdb.ca/metabolites/HMDB03375'>HMDB03375</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00521'>C00521</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439250'>439250</a>"
CPD-21107				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820234'>134820234</a>"
CPD-13050				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11876210'>11876210</a>"
CPD-13049				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12312990'>12312990</a>"
CPD-13048			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20188'>C20188</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9932254'>9932254</a>"
CPD-20564				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=636835'>636835</a>"
CPD-13047			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08626'>C08626</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91472'>91472</a>"
CPD-11541			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19819'>C19819</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=14543446'>14543446</a>"
CARBAMATE		"<a href='http://www.hmdb.ca/metabolites/HMDB03551'>HMDB03551</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01563'>C01563</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=276'>276</a>"
CPD-11533		"<a href='http://www.hmdb.ca/metabolites/HMDB06836'>HMDB06836</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06083'>C06083</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=168951'>168951</a>"
CPD-10678			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08926'>C08926</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=441907'>441907</a>"
CPD-15496				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71581069'>71581069</a>"
CPD-10667		"<a href='http://www.hmdb.ca/metabolites/HMDB34920'>HMDB34920</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08637'>C08637</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=92097'>92097</a>"
CPD-7659		"<a href='http://www.hmdb.ca/metabolites/HMDB12128'>HMDB12128</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40579102'>40579102</a>"
CPD-10662				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=14274985'>14274985</a>"
CPD-10642			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19834'>C19834</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=15432633'>15432633</a>"
CPD66-40		"<a href='http://www.hmdb.ca/metabolites/HMDB11760'>HMDB11760</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5283572'>5283572</a>"
CPD-10308			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20200'>C20200</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25203718'>25203718</a>"
CPD-17663				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820101'>91820101</a>"
CPD-10307			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19828'>C19828</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25245907'>25245907</a>"
CPD-7658				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25203400'>25203400</a>"
CPD-10285			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20192'>C20192</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25001002'>25001002</a>"
CPD-12877		"<a href='http://www.hmdb.ca/metabolites/HMDB35093'>HMDB35093</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C09849'>C09849</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=101977'>101977</a>"
CPD-10263				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25229600'>25229600</a>"
3-ALPHA-HYDROXYGLYCYRRHETINATE	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1449-05-4'>1449-05-4</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03930'>C03930</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658334'>90658334</a>"
CPD-13956				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658471'>90658471</a>"
CPD-8785		"<a href='http://www.hmdb.ca/metabolites/HMDB04321'>HMDB04321</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06099'>C06099</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=440917'>440917</a>"
CPD-17314				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=15931685'>15931685</a>"
CPD-22055				
CPD-8376				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52923179'>52923179</a>"
