ID	Name	Matches	
TREHALA-RXN	&alpha;,&alpha;-trehalose + H<sub>2</sub>O  &rarr;  &beta;-D-glucopyranose + &alpha;-D-glucopyranose	TREHALOSE, ALPHA-GLUCOSE, GLC, WATER	
RXN-4441	&alpha;,&alpha;-trehalose + phosphate  &harr;  &alpha;-D-glucopyranose + &alpha;-D-glucopyranose 1-phosphate	TREHALOSE, ALPHA-GLUCOSE, GLC-1-P, Pi	
ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN	&alpha;,&alpha;-trehalose + phosphate  &harr;  &beta;-D-glucopyranose 1-phosphate + D-glucopyranose	TREHALOSE, CPD-448, Glucopyranose, Pi	
TREHALOSEPHOSPHA-RXN	&alpha;,&alpha;-trehalose 6-phosphate + H<sub>2</sub>O  &rarr;  &alpha;,&alpha;-trehalose + phosphate	TREHALOSE, TREHALOSE-6P, WATER, Pi	
TRE6PHYDRO-RXN	&alpha;,&alpha;-trehalose 6-phosphate + H<sub>2</sub>O  &rarr;  D-glucopyranose 6-phosphate + D-glucopyranose	TREHALOSE-6P, Glucopyranose, D-glucopyranose-6-phosphate, WATER	
2.4.1.216-RXN	&alpha;,&alpha;-trehalose 6-phosphate + phosphate  &harr;  &beta;-D-glucose 6-phosphate + &beta;-D-glucopyranose 1-phosphate	TREHALOSE-6P, CPD-448, GLC-6-P, Pi	
RXN-16418	&alpha;,&omega;-9<i>Z</i>-octadecenedioate + ATP + coenzyme A  &rarr;  &omega;-carboxy-(9<i>Z</i>)-octadec-9-enoyl-CoA + AMP + diphosphate	OCTADEC-9-ENE-118-DIOIC-ACID, CPD-17624, AMP, ATP, CO-A, PPI	
RXN-11812	&alpha;-1,3-D-mannobiose + UDP-&alpha;-D-xylose  =  3-<i>O</i>-(6-O-&alpha;-D-xylosylphospho-&alpha;-D-mannopyranosyl)-&alpha;-D-mannopyranose + UMP + H<SUP>+</SUP>	CPD-12789, CPD-12790, PROTON, UDP-D-XYLOSE, UMP	
RXN-12023	&alpha;-3',4'-anhydrovinblastine + H<sub>2</sub>O  &rarr;  vinblastine	CPD-13001, WATER, CPD-7858	
RXN-20001	&alpha;-3',4'-anhydrovinblastine radical + a reduced unknown electron carrier  &rarr;  &alpha;-3',4'-anhydrovinblastine + an oxidized unknown electron carrier	CPD-13001, CPD-21576, Donor-H2	
RXN-20205	&alpha;-<i>N</i>-dichloroacetyl-<i>p</i>-aminophenylserinol + a reduced unknown electron carrier + 2 oxygen  &rarr;  chloramphenicol + an oxidized unknown electron carrier + 2 H<sub>2</sub>O	CPD-21781, Donor-H2, CHLORAMPHENICOL, WATER, OXYGEN-MOLECULE	
RXN-13508	&alpha;-amyrin + 3 a reduced [NADPH-hemoprotein reductase] + 3 oxygen  &rarr;  ursolate + 3 an oxidized [NADPH-hemoprotein reductase] + 4 H<sub>2</sub>O	CPD-8250, WATER, OXYGEN-MOLECULE, CPD-14496	
RXN-13500	&alpha;-amyrin + a reduced [NADPH-hemoprotein reductase] + oxygen  &rarr;  uvaol + an oxidized [NADPH-hemoprotein reductase] + H<sub>2</sub>O	CPD-8250, WATER, OXYGEN-MOLECULE, CPD-14494	
RXN-12226	&alpha;-carotene + a reduced [NADPH-hemoprotein reductase] + oxygen  &rarr;  &alpha;-cryptoxanthin + an oxidized [NADPH-hemoprotein reductase] + H<sub>2</sub>O	CPD1F-118, CPD-7421, WATER, OXYGEN-MOLECULE	
RXN-5961	&alpha;-carotene + NADPH + H<SUP>+</SUP> + oxygen  &rarr;  zeinoxanthin + NADP<sup>+</sup> + H<sub>2</sub>O	CPD1F-118, WATER, PROTON, NADP, NADPH, OXYGEN-MOLECULE, CPD-5661	
RXN18C3-22	&alpha;-cembratriene-ol + NAD(P)H + oxygen + H<SUP>+</SUP>  &rarr;  &alpha;-cembratriene-4,6-diol + NAD(P)<sup>+</sup> + H<sub>2</sub>O	CPD-18857, CPD-18854, WATER, PROTON, NAD-P-OR-NOP, NADH-P-OR-NOP, OXYGEN-MOLECULE	
RXN-15836	&alpha;-cyclopiazonate + a reduced [NADPH-hemoprotein reductase] + oxygen  &rarr;  2-oxocyclopiazonate + an oxidized [NADPH-hemoprotein reductase] + H<sub>2</sub>O	ALPHA-CYCLOPIAZONATE, CPD-17093, WATER, OXYGEN-MOLECULE	
TRANS-RXN0-491	&alpha;-D-galactofuranose<sub>[periplasm]</sub> + ATP + H<sub>2</sub>O  &rarr;  &alpha;-D-galactofuranose<sub>[cytosol]</sub> + ADP + phosphate + H<SUP>+</SUP>	CPD0-2486, ADP, ATP, WATER, PROTON, Pi	
GALACTOKIN-RXN	&alpha;-D-galactopyranose + ATP  &harr;  &alpha;-D-galactose 1-phosphate + ADP + H<SUP>+</SUP>	ALPHA-D-GALACTOSE, GALACTOSE-1P, ADP, ATP, PROTON	
2.7.7.32-RXN	&alpha;-D-galactose 1-phosphate + dTTP + H<SUP>+</SUP>  =  dTDP-&alpha;-D-galactose + diphosphate	GALACTOSE-1P, PPI, DTDP-D-GALACTOSE, TTP, PROTON	
RXN-14938	&alpha;-D-galactose 1-phosphate + H<sub>2</sub>O  &rarr;  D-galactopyranose + phosphate	GALACTOSE-1P, D-galactopyranose, WATER, Pi	
UTPHEXPURIDYLYLTRANS-RXN	&alpha;-D-galactose 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-galactose + diphosphate	GALACTOSE-1P, PPI, PROTON, CPD-14553, UTP	
RXN-14816	&alpha;-D-galactose 6-phosphate  &harr;  &beta;-D-galactose 6-phosphate	CPD-1241, CPD-15712	
RXN-11150	&alpha;-D-galacturonate 1-phosphate + H<sub>2</sub>O  &rarr;  D-galactopyranuronate + phosphate	CPD-501, D-Galactopyranuronate, WATER, Pi	
RXN-3	&alpha;-D-galacturonate 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-galacturonate + diphosphate	CPD-501, PPI, PROTON, UDP-D-GALACTURONATE, UTP	
RXN-12175	&alpha;-D-galacturonate-[rhamnogalacturonan I oligosaccharide] + H<sub>2</sub>O  &rarr;  &beta;-D-galacturonate + &alpha;-L-rhamnose-[rhamnogalacturonan I oligosaccharide]	D-galacturonate-rhamnogalacturonan, L-Rhamnose-rhamnogalacturonan, CPD-12524, WATER	
RXN-11459	&alpha;-D-galacturonosyl-(1&rarr;4)-&alpha;-D-galacturonate  &rarr;  D-galactopyranuronate + 4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate	CPD-12435, CPD-13122, D-Galactopyranuronate	
RXN-19792	&alpha;-D-galacturonosyl-(1&rarr;4)-&alpha;-D-galacturonate + H<sub>2</sub>O  &rarr;  2 D-galactopyranuronate	CPD-12435, D-Galactopyranuronate, WATER	
3.6.1.44-RXN	&alpha;-D-Glc-(1&rarr;2)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol + H<sub>2</sub>O  =  a dolichyl phosphate + (glucosyl)<SUB>3</SUB>-(mannosyl)<SUB>9</SUB>-(<i>N</i>-acetylglucosaminyl)<SUB>2</SUB>-phosphate + 2 H<SUP>+</SUP>	CPD-18076, GLUCOSYL3-MANNOSYL9-N-ACETYLGLUCOSA, DOLICHOLP, WATER, PROTON	
2.4.1.119-RXN	&alpha;-D-Glc-(1&rarr;2)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol<SUB>[rough endoplasmic reticulum lumen]</SUB> + a [protein]-L-asparagine<SUB>[rough endoplasmic reticulum lumen]</SUB>  &rarr;  a dolichyl diphosphate<SUB>[CCO-OUT-CCO-RGH-ER-LUM]</SUB> + Glc<sub>3</sub>Man<sub>9</sub>GlcNAc<sub>2</sub>-[protein]<SUB>[rough endoplasmic reticulum lumen]</SUB> + H<SUP>+</SUP><SUB>[rough endoplasmic reticulum lumen]</SUB>	CPD-18076, Dolichol-PP, Protein-L-Asparagine, CPD-18077, PROTON	
ALDOSE-1-EPIMERASE-RXN	&alpha;-D-glucopyranose  &harr;  &beta;-D-glucopyranose	ALPHA-GLUCOSE, GLC	
PHOSPHOGLUCMUT-RXN	&alpha;-D-glucopyranose 1-phosphate  &harr;  D-glucopyranose 6-phosphate	GLC-1-P, D-glucopyranose-6-phosphate	
RXN-16999	&alpha;-D-glucopyranose 1-phosphate  =  D-glucopyranose 6-phosphate	GLC-1-P, D-glucopyranose-6-phosphate	
GLUCOSE-16-BISPHOSPHATE-SYNTHASE-RXN	&alpha;-D-glucopyranose 1-phosphate + 3-phospho-D-glyceroyl-phosphate  =  &alpha;-glucose 1,6-bisphosphate + 3-phospho-D-glycerate + H<SUP>+</SUP>	GLC-1-P, ALPHA-GLUCOSE-16-BISPHOSPHATE, G3P, DPG, PROTON	
PHOSPHOGLUCOKINASE-RXN	&alpha;-D-glucopyranose 1-phosphate + ATP  =  &alpha;-glucose 1,6-bisphosphate + ADP + H<SUP>+</SUP>	GLC-1-P, ALPHA-GLUCOSE-16-BISPHOSPHATE, ADP, ATP, PROTON	
GLUC1PADENYLTRANS-RXN	&alpha;-D-glucopyranose 1-phosphate + ATP + H<SUP>+</SUP>  &rarr;  ADP-&alpha;-D-glucose + diphosphate	GLC-1-P, ADP-D-GLUCOSE, ATP, PPI, PROTON	
2.7.7.33-RXN	&alpha;-D-glucopyranose 1-phosphate + CTP + H<SUP>+</SUP>  &harr;  CDP-&alpha;-D-glucose + diphosphate	GLC-1-P, CDP-D-GLUCOSE, CTP, PPI, PROTON	
2.7.7.34-RXN	&alpha;-D-glucopyranose 1-phosphate + GTP + H<SUP>+</SUP>  &rarr;  GDP-&alpha;-D-glucose + diphosphate	GLC-1-P, PPI, GDP-D-GLUCOSE, GTP, PROTON	
