"Compound"	"Reactions of compounds"
CPD-20210	RXN-18877 // RXN-18847
16-17-DIDEHYDROPROGESTERONE	4.2.1.98-RXN
CPD-6722	RXN-7780
ALPHA-RIBAZOLE-5-P	COBALAMIN5PSYN-RXN // RIBAZOLEPHOSPHAT-RXN // RXN-16788 // DMBPPRIBOSYLTRANS-RXN
CPD-9369	RXN-8948 // RXN-8947
R-COCLAURINE	RXN-5141
CPD-11668	RXN-11263
CPD0-1716	""
CPD-14321	RXN-13347
DETHIOBIOTIN	RXN-17472 // 2.8.1.6-RXN // DETHIOBIOTIN-SYN-RXN
CPD-18119	""
PHENANTHRENE-34-DIOL	1.3.1.49-RXN
CPD-20051	RXN-18759 // RXN-18758 // RXN-18757
12-DICHLOROETHANE	DHLAXANAU-RXN
CPD-656	D-GLUTAMATE-CYCLASE-RXN
ALPHA-D-GLUCOSYLPOLYGLYCEROL-PHOSPHATE	""
CPD-9260	RXN-8893 // RXN-8892
QUINALDATE	1.3.99.18-RXN
CPD-11573	RXN-10739 // RXN-10738
CPD0-1681	""
CPD-14165	RXN-13171 // RXN-13170
CPD-10334	""
DEAMINOHYDROXYBLASTICIDIN-S	BLASTICIDIN-S-DEAMINASE-RXN
CPD-10337	RXN-17488 // RXN-17487
CPD-17966	RXN-16683 // RXN-16667
CPD-10336	RXN-17488
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	AICARSYN-RXN // SAICARSYN-RXN
CPD-18896	""
CPD-19977	""
CPD-10335	""
10-OXODECANOATE	OMEGA-HYDROXYDECANOATE-DEHYDROGENASE-RXN
CPD-11680	RXN-11198 // RXN-10785
CPD-6301	""
CPD-17069	RXN-15807 // RXN-15806
ADP-L-GLYCERO-D-MANNO-HEPTOSE	RXN0-5127 // RXN0-5122 // RXN0-5118 // RXN0-5057 // RXN0-5061 // 5.1.3.20-RXN
CPD-19719	RXN-18343 // RXN-18342
CPD-9174	""
CPD-11679	RXN-11198
PROTOPINE	1.14.13.55-RXN // RXN-8180
CPD-17068	RXN-15806 // RXN-15809 // RXN-15805
CPD-11439	""
CPD-19712	""
CPD0-1650	""
CPD-17118	""
CPD-14112	RXN-13098 // RXN-18697 // RXN-15042 // RXN-13097
CPD-12996	""
D-GLUCOSYLARYLAMINE	ARYLAMINE-GLUCOSYLTRANSFERASE-RXN
METHYLENE-THF	RXN-15764
CPD-17755	RXN-16510
CPD-12997	""
O-SINAPOYLGLUCARATE	RXN-15361 // 2.3.1.131-RXN
CPD-12998	""
CPD-19897	RXN-18623 // RXN-18622
CPD-17119	""
1-CARBOXYCYCLOHEXANOYL-COA	""
5-METHYL-THF	RXN-15764
CPD-611	THIAMIN-TRIPHOSPHATASE-RXN // RXN0-7041 // THIAMIN-DIPHOSPHATE-KINASE-RXN
CPD-1302	HOMOCYSMET-RXN // RXN-12730
ACETOL	RXN-8633 // RXN-17578 // RXN-17627 // RXN-17625 // RXN0-4281 // RXN-8632 // RXN0-5213 // RXN-17569 // RXN-8630 // RXN-10065
CPD-17113	""
CPD-9078	""
CPD-17114	""
