ID	Name	Matches	
G-10132	&alpha;-SCS2	SUCCCOASYN-RXN	
G-10320	&beta;-FS	RXN-8422	
AT4G25700	&beta;-OHase 1	RXN-8025, RXN-8026, RXN-8039	
AT5G52570	&beta;-OHase 2	RXN-8025, RXN-8026	
G-18015	&beta;-pgm	BETA-PHOSPHOGLUCOMUTASE-RXN, RXN-16995, RXN-16996	
G-15387	&beta;-primeverosidase	RXN-13694, RXN-13696, RXN-13693, RXN-13691, RXN-13701, RXN-13692	
G-10133	&beta;-SCS	SUCCCOASYN-RXN	
AT5G46180	&delta;-OAT	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	
G-14643	&delta;OAT	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	
G-10327	(+)-germacrene D synthase	RXN-8939	
G-14542	(S)-THBO	TETRAHYDROBERBERINE-OXIDASE-RXN	
G-44105	07g	RXN-16840, RXN-16846	
G-1601	1-FEH w1	RXN-1841	
G-1602	1-FEH w2	RXN-1841	
G-44283	1.7	RXN-17140, RXN-17141	
G-58307	10HGO	RXN-9369, RXN-12961, RXN-9367, RXN-9368, RXN-9370	
G-12430	16OMT	2.1.1.94-RXN	
G-9615	2-NPD	2-NITROPROPANE-DIOXYGENASE-RXN	
G-44373	2-ODD	RXN-16344	
G-8726	2552184	PROTEIN-ARGININE-DEIMINASE-RXN	
G-10901	3&beta;-HSD	RXN-9722	
AT1G47290	3&beta;-HSD/D1	RXN-11928, RXN-20373, RXN-11959, RXN-11933, RXN-11938, RXN-20374	
AT2G26260	3&beta;-HSD/D2	RXN-11928, RXN-20373, RXN-11959, RXN-11933, RXN-11938, RXN-20374	
G18C3-386	3&beta;HSD	RXN-20434, RXN-11928, RXN-20441, RXN-11933, RXN-11938	
G-63049	3&beta;HSD-2	RXN-20434, RXN-11928, RXN-20441, RXN-11933, RXN-11938	
G-9558	3'GT	RXN-8231, RXN-8234	
G-8724	3527597	ARGININE-DEIMINASE-RXN	
G-17612	3debr	RXN-14683	
G-15506	3GGT	RXN-13965	
G-15991	3GT	RXN1F-775	
G-16002	3GT	RXN1F-775	
G-16001	3GT1	RXN1F-775	
G-9309	3MaT	RXN-15335, RXN-7834	
G-17989	3MaT	RXN-15335	
G-17998	3MaT1	RXN-15335, RXN-8206, RXN-7834	
G-18000	3MaT2	RXN-15336, RXN-15335, RXN-8206, RXN-7834	
G-9743	4'CGT	RXN-8455, RXN-8453	
G-6421	4'OMT	2.1.1.116-RXN	
G-17719	4'OMT	2.1.1.116-RXN, 2.1.1.121-RXN	
G-12241	4-FTase	RXN-11747	
AT1G51680	4CL1	4-COUMARATE--COA-LIGASE-RXN, RXN-1126, 6.2.1.34-RXN	
AT3G21240	4CL2	4-COUMARATE--COA-LIGASE-RXN, RXN-1126	
G-17793	4CL2	4-COUMARATE--COA-LIGASE-RXN, RXN-1126	
AT1G65060	4CL3	4-COUMARATE--COA-LIGASE-RXN, 6.2.1.34-RXN	
AT3G21230	4CL5	4-COUMARATE--COA-LIGASE-RXN, RXN-10919	
G-10251	4hbD	4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	
G-10216	4HBS	RXN-8871	
G-17951	4RLS	4.2.3.20-RXN	
G-10899	5&alpha;-POR	PROGESTERONE-5-ALPHA-REDUCTASE-RXN	
G-10892	5&beta;-POR	RXN-9726	
G-9796	5-GT	RXN-8479	
G-15990	5GT	RXN-8169	
G-15992	5GT7	RXN-8228	
AT1G47510	5PTase11	RXN-10036, RXN-10938, PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	
AT2G43900	5PTase12	3.1.3.56-RXN	
AT1G05630	5PTase13	3.1.3.56-RXN	
AT2G31830	5PTase14	RXN-10036, PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN, 3.1.3.56-RXN	
AT2G32010	5PTase7	RXN-10036, PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN	
G-12585	6-FEH1	RXN-12220	
G-9797	6-GT	RXN-8480	
G-120	6-HDNO	RXN-16528	
G-119	6-HLNO	RXN-16526	
G-1544	6-SFT	RXN-1804, RXN-1803	
G-3782	6DCS_SOYBN	RXN-3142	
G-1543	6G-FFT	RXN-1802	
G-58337	6GAL	3.2.1.164-RXN	
D29811	6OMT	2.1.1.128-RXN	
G-6404	6OMT	2.1.1.128-RXN, RXN-13810	
G18C3-379	7-DR2	RXN66-323	
G18C3-389	7-DR2	RXN66-323	
G-9902	7OMT	RXN-8700, RXN-8701	
G18C3-375	8,7 SI	RXN-4161, RXN-4286	
G-27217	8287993	RXN-15660	
G-44169	85K11	RXN-16939	
G-44170	94P1	RXN-16940	
G-10846	<i> LcANR1</i>	RXN-9725	
AT1G61720	<i>AtBAN</i>	RXN-9724, RXN-9725, RXN-9723	
AT3G45070	<i>AtST3a</i>	FLAVONOL-3-SULFOTRANSFERASE-RXN	
CISZOG1	<i>cis</i>ZOG1	RXN-4735	
CISZOG2	<i>cis</i>ZOG2	RXN-4735	
G-10834	<i>LAR</i>	RXN-1481, RXN-1484, RXN-9720, RXN-10692	
G-10841	<i>MtBAN</i>	RXN-9724, RXN-9725, RXN-9723	
G-11420	<i>PPDBR</i>	RXN-10709	
G-11281	<i>SOMT-9</i>	RXN-12616, RXN-8262	
AT4G34135	<i>UGT73B2</i>	RXN-14001, RXN-9745, RXN-9752, RXN-9751, RXN-9749, RXN-9748, FLAVONOL-3-O-GLUCOSYLTRANSFERASE-RXN, 2.4.1.240-RXN, 2.4.1.239-RXN, RXN1F-461, RXN-8263, RXN-8270, RXN-8289, RXN-8264, RXN1F-462, RXN-8271	
AT2G15490	<i>UGT73B4</i>	RXN-9745, RXN-9752, RXN-9743, RXN-9751, RXN-9749, RXN-9748	
AT2G15480	<i>UGT73B5</i>	RXN-9745, RXN-9752, RXN-9743, RXN-9751, RXN-9749, RXN-9748	
AT2G36790	<i>UGT73C6</i>	RXN-9745, RXN-9752, RXN-9743, RXN-9751, RXN-9749, RXN-9748, RXN-8354, RXN-8355, RXN-8266, RXN-8268	
G-17969	A1	RXN-14425, RXN-14422	
G-14915	A1-R	RXN-13040	
G-8541	A17978	N-CARBAMOYLSARCOSINE-AMIDASE-RXN	
G-58213	A2CH	RXN-19327	
G-15989	A3GT	2.4.1.115-RXN, RXN1F-775, RXN-7815, PELUDP-RXN, RXN-17675	
HS05171	A4GALT	2.4.1.228-RXN	
G-9100	A6PR	ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN	
G-15987	AA5GT	RXN-14436, RXN-14432, RXN-13967, RXN-13970, RXN-14441, RXN-14439	
G-18028	AA7BG-GT1	RXN-15373, RXN-15353	
G-18029	AA7BG-GT2	RXN-15373, RXN-15353	
G-15507	AA7GT	RXN-14435, RXN-14434, RXN-13969, RXN-15351, RXN-14442, RXN-14440	
G-15988	AA7GT	RXN-14434, RXN-14446, RXN-13969, RXN-15351, RXN-14448, RXN-14447	
G-44057	aacA-aphD	RXN-16729, RXN-16735, RXN-16734, RXN-16733, RXN-16730, RXN-16731, RXN-16737, RXN-16736, RXN-16732	
AT5G47720	AACT1	ACETYL-COA-ACETYLTRANSFER-RXN, RXN-20155, RXN-20154	
AT5G48230	AACT2	ACETYL-COA-ACETYLTRANSFER-RXN, RXN-20155, RXN-20154	
HS03239	AADAT	RXN-10721, 2-AMINOADIPATE-AMINOTRANSFERASE-RXN, 2.6.1.7-RXN	
G-9471	Aadat	2-AMINOADIPATE-AMINOTRANSFERASE-RXN	
G-10399	AADC	RXN-8990	
G-10396	AADC1A	PHENYLALANINE-DECARBOXYLASE-RXN	
G-10397	AADC1B	PHENYLALANINE-DECARBOXYLASE-RXN	
G-10398	AADC2	PHENYLALANINE-DECARBOXYLASE-RXN	
G-9544	AAE	RXN-8222, RXN-8220	
G-15537	AAE1	RXN-14172	
AT3G48990	AAE3	OXALATE--COA-LIGASE-RXN	
G3O-29157	AAE3	OXALATE--COA-LIGASE-RXN	
G7686	aaeA	TRANS-RXN0-233	
G7685	aaeB	TRANS-RXN0-233	
AT4G20070	AAH	ALLANTOATE-DEIMINASE-RXN	
G-10381	aah6h	6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN	
AT5G60340	AAK6	ADENYL-KIN-RXN, DEOXYADENYLATE-KINASE-RXN	
G-10124	aamA	1.14.13.69-RXN, RXN-8806	
G-10126	aamB	1.14.13.69-RXN, RXN-8806	
G-10121	aamC	1.14.13.69-RXN, RXN-8806	
G-10120	aamD	1.14.13.69-RXN, RXN-8806	
G-10125	aamE	1.14.13.69-RXN, RXN-8806	
G-10122	aamF	1.14.13.69-RXN, RXN-8806	
G-58299	aamsh1	3.5.1.29-RXN	
HS05303	AANAT	RXN-13870, ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN, RXN3DJ-35528, ARYLAMINE-N-ACETYLTRANSFERASE-RXN	
MGI:1328365	Aanat	RXN3DJ-35528	
G-10719	AANTSYNB	ANTHRANSYN-RXN	
G-14832	AAO	RXN-3541	
G-15328	aao	ARYL-ALCOHOL-OXIDASE-RXN	
AT5G20960	AAO1	INDOLE-3-ACETALDEHYDE-OXIDASE-RXN, RXN-8094, RXN-8091, RXN-8088, RXN-8089, RXN-8093	
AT3G43600	AAO2	RXN-8094, RXN-8090, RXN-8088, RXN-8089	
AT2G27150	AAO3	1.2.3.14-RXN, INDOLE-3-ACETALDEHYDE-OXIDASE-RXN, RXN-8090, RXN-8088, RXN-8089	
AT1G04580	AAO4	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN, RXN-8088	
G-6304	AAPT1	RXN66-578, RXN-5781, RXN-19426, RXN-20511, RXN-20533, RXN-20567	
AT1G13560	AAPT1	RXN66-578, RXN-5781, ETHANOLAMINEPHOSPHOTRANSFERASE-RXN, RXN-19426, RXN-20511, RXN-20533, RXN-20567	
AT3G25585	AAPT2	RXN66-578, RXN-5781, ETHANOLAMINEPHOSPHOTRANSFERASE-RXN, RXN-19426, RXN-20511, RXN-20533, RXN-20567	
G-15977	aarA	CITSYN-RXN	
G-15976	aarC	RXN-8807	
EG11679	aas	RXN-16463, ACYLGPEACYLTRANS-RXN, RXN0-5513, RXN-16468, RXN-13264, RXN-13266, RXN-5741, RXN-13267, RXN-13268	
HS14278	AASDHPPT	HOLO-ACP-SYNTH-RXN, RXN-19477, RXN-19493, RXN-16759, RXN-10674, ENTDB-RXN	
HS00244	AASS	1.5.1.9-RXN, 1.5.1.8-RXN	
G-9184	aat	ALANINE-AMINOTRANSFERASE-RXN	
G-15244	AAT	RXN-13542	
EG11112	aat	RXN-17846, LEUCYLTRANSFERASE-RXN, RXN-17847, RXN-17848	
G-15378	AAT2	RXN-13697	
YLR027C	AAT2	ASPAMINOTRANS-RXN	
G-15379	AAT3	ASPAMINOTRANS-RXN	
G-12804	aauA	ARALKYLAMINE-DEHYDROGENASE-RXN	
G-12803	aauB	ARALKYLAMINE-DEHYDROGENASE-RXN	
G-12592	AAur_0618	RXN-12222	
G-15950	AB000361	RXN-14365, RXN-14364	
G-12675	AB006853	RXN-12269	
G-17955	AB008013	LOMBRICINE-KINASE-RXN	
G-17789	AB008568	RXN-14963	
G-4421	AB079610	ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN	
G-6521	AB094497	GLYCINE-N-METHYLTRANSFERASE-RXN, RXN-9679	
G-6524	AB094498	RXN-9680	
G-17886	AB179748	ENDOGLYCOSYLCERAMIDASE-RXN	
G-10569	AB181292	RXN-8694	
G-17956	AB186411	TAUROCYAMINE-KINASE-RXN	
G-17957	AB186412	TAUROCYAMINE-KINASE-RXN	
G-15260	AB518002	SUPEROX-DISMUT-RXN	
G-15257	AB518003	1.6.5.7-RXN	
G-44023	aba1	RXN-16636, RXN-16643, RXN-16640, RXN-16638, RXN-16645, RXN-16642, RXN-16641, RXN-16639, RXN-16646, RXN-16644	
AT5G67030	ABA1	RXN-7979, RXN-7978	
AT1G52340	ABA2	1.1.1.288-RXN	
G-1801	ABA2	RXN-7979, RXN-7978	
ABA2	ABA2	RXN-7979, RXN-7978	
AT1G16540	ABA3	RXN-8351	
G-9513	ABA8'OH-1	1.14.13.93-RXN	
HS02477	ABAT	RXN-2901, 2.6.1.22-RXN, GABATRANSAM-RXN	
AT1G60600	ABC4	RXN-7568	
HS02475	ABCC1	RXN-19605, TRANS-RXN-358	
G3O-29167	ABD1	MRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	
G-12796	abf1	RXN-19758, RXN-19757	
BSU28720	abfA	3.2.1.55-RXN	
G-14721	abfA	3.2.1.55-RXN	
G-10271	abfD	RXN-8890, RXN-20447, VINYLACETYL-COA-DELTA-ISOMERASE-RXN	
