"Gene Name"	"Ensembl"	"GeneCards"
G-6024		
G185E-5667		
G-12048		
G7490		
AT4G20150		
G6437		
G-12458		
G185E-4786		
G-307		
EG11289		
G-9317		
G7160		
G-43723		
G185E-8097		
G-10109		
G185E-4597		
G-9900		
CHLREDRAFT_98021		
G-14505		
G7123		
G-10578		
G185E-7554		
G-14985		
EG12318		
G-44107		
CHLREDRAFT_191690		
HS00681	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000055130'>ENSG00000055130</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL1'>CUL1</a>"
G6717		
G-44515		
G185E-6461		
G-11035		
EG12069		
HS05555		
CHLREDRAFT_153656		
G-15408		
G6580		
G-11518		
G185E-5668		
G-17649		
EG11692		
G-55008		
G7599		
G-18045		
G6456		
AT1G48140		
G185E-5308		
HS10696		
EG11298		
G-58297		
G7164		
G-12027		
G6261		
AT4G15370		
G185E-4666		
G-12433		
EG10138		
G-2984		
G7145		
G-9296		
G185E-7677		
G-43705		
EG12633		
G-10092		
CHLREDRAFT_195162		
G-9875		
G-14483		
G-10551		
G-14966		
G-44091		
HS00551		
G-44490		
G-11017		
HS05414	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130649'>ENSG00000130649</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2E1'>CYP2E1</a>"
EG11817		
G-15382		
G6798		
G-11499		
EG11498		
G-17634		
G-54993		
AT1G27980		
HS10404		
G-58281		
G-12009		
AT4G04955		
G-18031		
G-12417		
G-294		
G6805		
G-9246		
G-10076		
G-9851		
G-143		
BSU35650		
G-10532		
BSU35840		
G-14950		
G7146		
G-44073		
BSU35520		
HS00367	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000015413'>ENSG00000015413</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=DPEP1'>DPEP1</a>"
G-44474		
G-11001		
