ID	Name	Matches	
TREHALA-RXN	&alpha;,&alpha;-trehalose + H<sub>2</sub>O  &rarr;  &beta;-D-glucopyranose + &alpha;-D-glucopyranose	PWY-6981, PWY0-1182, PWY0-1466	
RXN-4441	&alpha;,&alpha;-trehalose + phosphate  &harr;  &alpha;-D-glucopyranose + &alpha;-D-glucopyranose 1-phosphate	PWY-2723	
ALPHAALPHA-TREHALOSE-PHOSPHORYLASE-RXN	&alpha;,&alpha;-trehalose + phosphate  &harr;  &beta;-D-glucopyranose 1-phosphate + D-glucopyranose	PWY-2722	
TREHALOSEPHOSPHA-RXN	&alpha;,&alpha;-trehalose 6-phosphate + H<sub>2</sub>O  &rarr;  &alpha;,&alpha;-trehalose + phosphate	PWY-7900, TRESYN-PWY, PWY-881, TREHALOSESYN-PWY	
TRE6PHYDRO-RXN	&alpha;,&alpha;-trehalose 6-phosphate + H<sub>2</sub>O  &rarr;  D-glucopyranose 6-phosphate + D-glucopyranose	TREDEGLOW-PWY	
2.4.1.216-RXN	&alpha;,&alpha;-trehalose 6-phosphate + phosphate  &harr;  &beta;-D-glucose 6-phosphate + &beta;-D-glucopyranose 1-phosphate	PWY-2721	
RXN-16418	&alpha;,&omega;-9<i>Z</i>-octadecenedioate + ATP + coenzyme A  &rarr;  &omega;-carboxy-(9<i>Z</i>)-octadec-9-enoyl-CoA + AMP + diphosphate	PWY-1121	
RXN-12023	&alpha;-3',4'-anhydrovinblastine + H<sub>2</sub>O  &rarr;  vinblastine	PWY-5292	
RXN-20001	&alpha;-3',4'-anhydrovinblastine radical + a reduced unknown electron carrier  &rarr;  &alpha;-3',4'-anhydrovinblastine + an oxidized unknown electron carrier	PWY-5292	
RXN-20205	&alpha;-<i>N</i>-dichloroacetyl-<i>p</i>-aminophenylserinol + a reduced unknown electron carrier + 2 oxygen  &rarr;  chloramphenicol + an oxidized unknown electron carrier + 2 H<sub>2</sub>O	PWY-8032	
RXN-13500	&alpha;-amyrin + a reduced [NADPH-hemoprotein reductase] + oxygen  &rarr;  uvaol + an oxidized [NADPH-hemoprotein reductase] + H<sub>2</sub>O	PWY-7068	
RXN-5961	&alpha;-carotene + NADPH + H<SUP>+</SUP> + oxygen  &rarr;  zeinoxanthin + NADP<sup>+</sup> + H<sub>2</sub>O	PWY-5947, CAROTENOID-PWY	
RXN18C3-22	&alpha;-cembratriene-ol + NAD(P)H + oxygen + H<SUP>+</SUP>  &rarr;  &alpha;-cembratriene-4,6-diol + NAD(P)<sup>+</sup> + H<sub>2</sub>O	PWY18C3-7, PWY18C3-14	
RXN-15836	&alpha;-cyclopiazonate + a reduced [NADPH-hemoprotein reductase] + oxygen  &rarr;  2-oxocyclopiazonate + an oxidized [NADPH-hemoprotein reductase] + H<sub>2</sub>O	PWY-7558	
GALACTOKIN-RXN	&alpha;-D-galactopyranose + ATP  &harr;  &alpha;-D-galactose 1-phosphate + ADP + H<SUP>+</SUP>	PWY-6317, PWY66-422, PWY-3821, PWY-6527	
UTPHEXPURIDYLYLTRANS-RXN	&alpha;-D-galactose 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-galactose + diphosphate	PWY-3821, PWY-6527	
RXN-11150	&alpha;-D-galacturonate 1-phosphate + H<sub>2</sub>O  &rarr;  D-galactopyranuronate + phosphate	PWY-6415	
RXN-3	&alpha;-D-galacturonate 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-galacturonate + diphosphate	PWY-4	
RXN-11459	&alpha;-D-galacturonosyl-(1&rarr;4)-&alpha;-D-galacturonate  &rarr;  D-galactopyranuronate + 4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate	PWY-7246	
2.4.1.119-RXN	&alpha;-D-Glc-(1&rarr;2)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol<SUB>[rough endoplasmic reticulum lumen]</SUB> + a [protein]-L-asparagine<SUB>[rough endoplasmic reticulum lumen]</SUB>  &rarr;  a dolichyl diphosphate<SUB>[CCO-OUT-CCO-RGH-ER-LUM]</SUB> + Glc<sub>3</sub>Man<sub>9</sub>GlcNAc<sub>2</sub>-[protein]<SUB>[rough endoplasmic reticulum lumen]</SUB> + H<SUP>+</SUP><SUB>[rough endoplasmic reticulum lumen]</SUB>	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	
ALDOSE-1-EPIMERASE-RXN	&alpha;-D-glucopyranose  &harr;  &beta;-D-glucopyranose	PWY0-1466	
PHOSPHOGLUCMUT-RXN	&alpha;-D-glucopyranose 1-phosphate  &harr;  D-glucopyranose 6-phosphate	PWY-6981, COLANSYN-PWY, PWY-6317, PWY66-422, PWY-5661, GLUCOSE1PMETAB-PWY, PWY-7902, GLYCOGENSYNTH-PWY, PWY-7900, GLYCOCAT-PWY, PWY-5941, PWY-6415, PWY-622, PWY-6731, PWY-6737, PWY-5940, SUCSYN-PWY, PWY-7238, PWY-3801, PWY-5384, PWY-7345, PWY-7328, PWY-2723, PWY-7343	
GLUC1PADENYLTRANS-RXN	&alpha;-D-glucopyranose 1-phosphate + ATP + H<SUP>+</SUP>  &rarr;  ADP-&alpha;-D-glucose + diphosphate	PWY-7902, GLYCOGENSYNTH-PWY, PWY-622	
2.7.7.33-RXN	&alpha;-D-glucopyranose 1-phosphate + CTP + H<SUP>+</SUP>  &harr;  CDP-&alpha;-D-glucose + diphosphate	PWY-5833, PWY-5940, PWY-5823	
2.7.7.34-RXN	&alpha;-D-glucopyranose 1-phosphate + GTP + H<SUP>+</SUP>  &rarr;  GDP-&alpha;-D-glucose + diphosphate	PWY-5661	
GLUCOSE-1-PHOSPHAT-RXN	&alpha;-D-glucopyranose 1-phosphate + H<sub>2</sub>O  &rarr;  D-glucopyranose + phosphate	GLUCOSE1PMETAB-PWY	
GLUC1PURIDYLTRANS-RXN	&alpha;-D-glucopyranose 1-phosphate + UTP + H<SUP>+</SUP>  &harr;  UDP-&alpha;-D-glucose + diphosphate	COLANSYN-PWY, PWY-6415, PWY-6527, SUCSYN-PWY, PWY-7238, PWY-3801, PWY-7345, PWY-7328, PWY-7817, PWY-7343	
RXN-11792	&alpha;-D-glucopyranosyl-diphosphoundecaprenol + UDP-&alpha;-D-glucose  &rarr;  &beta;-D-glucosyl-(1,4)-&alpha;-D-glucosyl-diphosphoundecaprenol + UDP + H<SUP>+</SUP>	PWY-6658, PWY-6655	
RXN-12231	&alpha;-D-glucosamine 1-phosphate + GTP + H<SUP>+</SUP>  &rarr;  GDP-D-glucosamine + diphosphate	PWY-6749	
GLUCOSAMINE-6-P-DEAMIN-RXN	&alpha;-D-glucosamine 6-phosphate + H<sub>2</sub>O  &harr;  &beta;-D-fructofuranose 6-phosphate + ammonium	GLUAMCAT-PWY, PWY-6517, PWY-6855, PWY-6906, GLCMANNANAUT-PWY, P441-PWY, PWY-5514	
