HMDB,Compound,Reaction,Reaction Name,MetaCyc Gene,HGNC,Ensembl
HMDB00060,3-KETOBUTYRATE,3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN,(<i>R</i>)-3-hydroxybutanoate + NAD<sup>+</sup>  &harr;  acetoacetate + NADH + H<SUP>+</SUP>,HS08579,BDH1,ENSG00000161267
HMDB00060,3-KETOBUTYRATE,3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN,(<i>R</i>)-3-hydroxybutanoate + NAD<sup>+</sup>  &harr;  acetoacetate + NADH + H<SUP>+</SUP>,HS08987,BDH2,ENSG00000164039
HMDB00060,3-KETOBUTYRATE,HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,(<i>S</i>)-3-hydroxy-3-methylglutaryl-CoA  &rarr;  acetoacetate + acetyl-CoA,HS04116,HMGCL,ENSG00000117305
HMDB00060,3-KETOBUTYRATE,HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,(<i>S</i>)-3-hydroxy-3-methylglutaryl-CoA  &rarr;  acetoacetate + acetyl-CoA,G-12374,liuE,NA
HMDB00060,3-KETOBUTYRATE,HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN,(<i>S</i>)-3-hydroxy-3-methylglutaryl-CoA  &rarr;  acetoacetate + acetyl-CoA,G-9191,mvaB,NA
HMDB00060,3-KETOBUTYRATE,R125-RXN,(<i>S</i>)-5-amino-3-oxohexanoate + acetyl-CoA  &harr;  (<i>S</i>)-3-aminobutanoyl-CoA + acetoacetate,G-10295,kce,NA
HMDB00060,3-KETOBUTYRATE,FUMARYLACETOACETASE-RXN,4-fumaryl-acetoacetate + H<sub>2</sub>O  &rarr;  fumarate + acetoacetate + H<SUP>+</SUP>,HS02536,FAH,ENSG00000103876
HMDB00060,3-KETOBUTYRATE,FUMARYLACETOACETASE-RXN,4-fumaryl-acetoacetate + H<sub>2</sub>O  &rarr;  fumarate + acetoacetate + H<SUP>+</SUP>,G-9329,fahA,NA
HMDB00060,3-KETOBUTYRATE,1.8.1.5-RXN,acetoacetate + coenzyme M + NADP<sup>+</sup>  &larr;  2-oxopropyl-CoM + CO<SUB>2</SUB> + NADPH,G-6041,xecC,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETATE-DECARBOXYLASE-RXN,acetoacetate + H<SUP>+</SUP>  &rarr;  acetone + CO<SUB>2</SUB>,G-104,adc,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETATE-DECARBOXYLASE-RXN,acetoacetate + H<SUP>+</SUP>  &rarr;  acetone + CO<SUB>2</SUB>,G-12180,MKS1,NA
HMDB00060,3-KETOBUTYRATE,TRANS-RXN0-281,acetoacetate<sub>[periplasm]</sub>  &rarr;  acetoacetate<sub>[cytosol]</sub>,EG11671,atoE,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-HYDROLASE-RXN,acetoacetyl-CoA + H<sub>2</sub>O  &rarr;  acetoacetate + coenzyme A + H<SUP>+</SUP>,G-9360,CESdD1,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-HYDROLASE-RXN,acetoacetyl-CoA + H<sub>2</sub>O  &rarr;  acetoacetate + coenzyme A + H<SUP>+</SUP>,G-106,ctfA,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-HYDROLASE-RXN,acetoacetyl-CoA + H<sub>2</sub>O  &rarr;  acetoacetate + coenzyme A + H<SUP>+</SUP>,G-105,ctfB,NA
HMDB00060,3-KETOBUTYRATE,ACETOACETYL-COA-HYDROLASE-RXN,acetoacetyl-CoA + H<sub>2</sub>O  &rarr;  acetoacetate + coenzyme A + H<SUP>+</SUP>,G-12179,MKS2,NA
