"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Ensembl"	"GeneCards"
HS00371		50905153	50919890	HS00371-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000015532'>ENSG00000015532</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=XYLT2'>XYLT2</a>"
HS02509		16874945	17026963	HS02509-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000103489'>ENSG00000103489</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=XYLT1'>XYLT1</a>"
HS03488		148915582	149245243	ENSG00000111962-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000111962'>ENSG00000111962</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UST'>UST</a>"
HS07569		127477147	127511837	HS07569-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UROS'>UROS</a>"
HS04993		45477805	45481341	HS04993-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000126088'>ENSG00000126088</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UROD'>UROD</a>"
HS01953		24863344	24922553	HS01953-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000100024'>ENSG00000100024</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UPB1'>UPB1</a>"
HS00053				HS00053-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UP'>UP</a>"
HS07003		161447730	161528189	HS07003-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000143179'>ENSG00000143179</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UMPK'>UMPK</a>"
HS10812		115801032	115878608	HS10812-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000174607'>ENSG00000174607</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT8'>UGT8</a>"
HS10272		70010734	70027216	HS10272-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000171234'>ENSG00000171234</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B7'>UGT2B7</a>"
HS11970				HS11970-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A4'>UGT1A4</a>"
HS07494		106391371	106427609	HS07494-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000148154'>ENSG00000148154</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UGCG'>UGCG</a>"
HS05429		125945717	125953181	HS05429-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130717'>ENSG00000130717</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UCK1'>UCK1</a>"
HS08405		36203816	36294059	ENSG00000159459-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000159459'>ENSG00000159459</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UBR1'>UBR1</a>"
HS03971		203070903	203103322	ENSG00000116030-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000116030'>ENSG00000116030</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UBL1'>UBL1</a>"
HS05432		59521051	59523722	HS05432-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130725'>ENSG00000130725</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2M'>UBE2M</a>"
HS05542		139524895	139591987	HS05542-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000131508'>ENSG00000131508</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D2'>UBE2D2</a>"
HS07200		68477304	68502942	HS07200-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000144744'>ENSG00000144744</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE1C'>UBE1C</a>"
HS05465		45310926	45335193	HS05465-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130985'>ENSG00000130985</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE1'>UBE1</a>"
HS11096		645225	661101	HS11096-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000176890'>ENSG00000176890</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMS'>TYMS</a>"
HS07530		26703202	26752341	HS07530-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000148459'>ENSG00000148459</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TPT'>TPT</a>"
HS05250		18984838	19004610	HS05250-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000129167'>ENSG00000129167</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TPH'>TPH</a>"
HS08089		150855274	151149212	HS08089-MONOMER		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TMLHE'>TMLHE</a>"
HS09420		66921455	66962425	HS09420-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000166548'>ENSG00000166548</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TK2'>TK2</a>"
HS09657		79157415	79170495	HS09657-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000167900'>ENSG00000167900</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TK1'>TK1</a>"
HS11459		2273253	2281139	ENSG00000180176-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000180176'>ENSG00000180176</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TH'>TH</a>"
HS00565		133966799	134234712	ENSG00000042832-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000042832'>ENSG00000042832</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TG'>TG</a>"
HS03359		57281820	57306573	HS03359-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000110958'>ENSG00000110958</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TEBP'>TEBP</a>"
HS14096		10523581	10605303	ENSG00000145495-MONOMER	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000145495'>ENSG00000145495</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TEB4'>TEB4</a>"
